transaction_id,status,message
6c359ac3-28a6-4f6a-abba-d6caab460b72,DECLINED,This account has not done initial money deposit in order to withdraw!
1a3079bc-000a-48b3-bb0f-cf8611b8d98d,DECLINED,This account has not done initial money deposit in order to withdraw!
2373f91d-d6a6-4c8b-8fd4-ebc8555ab054,DECLINED,No user for this transaction found!
afdeb711-93ac-47b5-ad51-2ef1fc54e3e0,DECLINED,This account has not done initial money deposit in order to withdraw!
ac3cd057-433e-4ecf-9269-b8ae96bf770e,APPROVED,OK
013746c5-1a13-4e41-9407-dee36945065f,APPROVED,OK
84a6f3d3-b6e3-4449-9c74-9f2c292a0be9,APPROVED,OK
32d4da55-5af3-4867-8221-38d91a100e24,DECLINED,This account has not done initial money deposit in order to withdraw!
01b4e6a7-9a30-498e-b79b-4b3b92b85790,APPROVED,OK
25571b83-5f46-4bc8-bd5c-1472c33118e4,DECLINED,Transaction ID is not unique!
6f54db60-533e-49df-bc25-27cdfa9fcd59,DECLINED,This account has not done initial money deposit in order to withdraw!
112ab28b-7377-4a7a-afe3-75b2d3267960,APPROVED,OK
caea9a1f-2b0d-4cfd-8843-d8da629f679a,DECLINED,Can't deposit (93.09) more or less than the set limits!
f6536b81-b849-4eef-9c95-ae1dce9bcc1e,APPROVED,OK
27168671-0ae3-4248-b708-d319ec749d97,DECLINED,Only allowed DC but used is CC!
34d68a33-4ef8-47a1-8f7c-6e8882e85425,DECLINED,No user for this transaction found!
e1bd206f-599f-4a4f-870c-ab460411f75c,DECLINED,This account has not done initial money deposit in order to withdraw!
c2aea040-ec74-4c98-99c8-9b3ec4de34e9,DECLINED,This account has not done initial money deposit in order to withdraw!
d9eaa72b-30ff-4827-975b-a1d030e17ef9,DECLINED,Can't deposit (238.61) more or less than the set limits!
65b1636a-0a13-456c-9755-62d82e0e846c,APPROVED,OK
e1391fa4-d193-4223-85ad-88ba170b0093,DECLINED,Transaction ID is not unique!
3c114944-5b5b-4c65-a26c-1f72311b56cc,APPROVED,OK
66b208d9-76ae-4d6d-b4dc-853d904b39e4,DECLINED,This account has not done initial money deposit in order to withdraw!
8a7b3702-c1c1-4d88-919b-a7680fd0314c,DECLINED,Only allowed DC but used is CC!
8f16f727-64de-4c0d-a449-a1477d19e155,APPROVED,OK
c837be62-41b0-4653-8727-2ed0af34b891,DECLINED,Only allowed DC but used is CC!
f7c8a792-a695-44fd-825d-e46cc44640bc,APPROVED,OK
d2263ff0-b302-478f-b49e-35200bbe02dd,DECLINED,Can't deposit (239.04) more or less than the set limits!
a9bbfee7-63f4-4cdc-84b8-d7f16d622c04,DECLINED,Only allowed DC but used is CC!
8a138450-7fca-43d0-b968-41c3c3d4c6ea,DECLINED,This account has not done initial money deposit in order to withdraw!
5ec94729-9405-433d-81e5-756d715d3d18,APPROVED,OK
edf6e1ea-6eb6-46a4-a913-779d825229ff,DECLINED,Can't deposit (89.28) more or less than the set limits!
386c9ec1-5e6d-49b3-a398-fc6e89e10b31,DECLINED,Can't withdraw (214.52) more or less than the set limits!
a97e4b24-b892-4897-aaa9-af83b5793285,DECLINED,Transaction ID is not unique!
80c28c56-81c2-4e1b-8b7c-42193f7fc285,DECLINED,This account has not done initial money deposit in order to withdraw!
79c52231-4ff2-467f-9ff0-ac87724774af,DECLINED,Can't withdraw (295.89) more or less than the set limits!
e98d5bc8-29a3-4bf7-9e23-b1e1e386d4fc,DECLINED,This account has not done initial money deposit in order to withdraw!
c928fd15-6096-49ce-8589-3bf1e99c1513,DECLINED,This account has not done initial money deposit in order to withdraw!
eb2d9a88-ef8c-4f3a-9a70-88876f6ef8e1,DECLINED,Transaction ID is not unique!
b3329d20-2bf1-4be0-be0b-69f0296eded1,APPROVED,OK
a83c57de-dfe9-43b0-ba23-681770bac40e,DECLINED,Can't withdraw (183.55) more or less than the set limits!
813f54c1-2775-446d-80c3-e6cc2810afe5,DECLINED,No user for this transaction found!
7e29565a-454e-4a14-a559-393808c0c9f1,DECLINED,This account has not done initial money deposit in order to withdraw!
647eb413-385b-4468-8312-4015dd11e703,APPROVED,OK
30eccc21-2cb4-4e5c-ac7d-8795972389d7,DECLINED,Transaction ID is not unique!
ca0dff76-f21d-476b-8eaa-a54409569ae1,DECLINED,Can't deposit (57.56) more or less than the set limits!
5e2b4b22-9211-43ef-947a-a5bb33cc8a43,DECLINED,This account has not done initial money deposit in order to withdraw!
b12f904c-3cfd-4bce-a8da-4c1f7cb61350,DECLINED,Can't withdraw (79.43) more or less than the set limits!
f0a0dffe-b422-43ad-b2be-9f6bc2c91d2a,DECLINED,Only allowed DC but used is CC!
ca2ec87b-2ea9-4250-ade4-a0c246443d1c,DECLINED,Can't withdraw (211.07) more or less than the set limits!
b6965002-43a5-44b8-9f53-db48eb758d97,DECLINED,This account has not done initial money deposit in order to withdraw!
4bfbbdad-bfdb-48d9-9645-3d96baf67857,DECLINED,Can't withdraw (190.97) more or less than the set limits!
f4e530d9-38a1-4bc5-a00e-b044abd9a8b1,DECLINED,Can't withdraw (186.42) more or less than the set limits!
5bfd57cd-9a75-4df6-8daf-26a8cc2babb0,DECLINED,Only allowed DC but used is CC!
68a74294-3dd1-4d1a-855a-02c89e1f0724,DECLINED,This account has not done initial money deposit in order to withdraw!
4ee6da64-96c9-4df1-8452-f9b4431abd3c,DECLINED,This account has not done initial money deposit in order to withdraw!
195576e4-defa-48eb-aa02-7bec078b08c6,APPROVED,OK
4a85b9ea-e41b-4f39-bfb4-6af6794bc456,DECLINED,This account has not done initial money deposit in order to withdraw!
c0e584ee-3113-41fa-979d-eade7e323232,APPROVED,OK
90610fcc-4161-49ed-8022-b8013e7391a1,DECLINED,Can't deposit (167.99) more or less than the set limits!
69c586c7-be4b-4313-be9e-ec406b1d9bf0,DECLINED,Only allowed DC but used is CC!
a2961f4f-641c-4329-8a34-129068fc3878,DECLINED,Can't deposit (255.9) more or less than the set limits!
65b1636a-0a13-456c-9755-62d82e0e846c,DECLINED,Transaction ID is not unique!
b3590eba-d017-4faf-892f-21ecbeb3691a,DECLINED,Can't deposit (92.74) more or less than the set limits!
10dbfaf2-060f-4d23-b048-4716387f7a72,DECLINED,Can't deposit (273.4) more or less than the set limits!
d9eaa72b-30ff-4827-975b-a1d030e17ef9,DECLINED,Transaction ID is not unique!
bac6dd91-bb45-4d74-a366-a1920405688d,APPROVED,OK
fd0fdff5-04d3-4a0a-afc3-be013825c7c4,DECLINED,This account has not done initial money deposit in order to withdraw!
70da9c72-7377-49f2-82d3-98b2d9894b25,DECLINED,Only allowed DC but used is CC!
befd0e9e-1b63-4372-a148-0fa0abffde5c,DECLINED,Can't deposit (259.38) more or less than the set limits!
caea9a1f-2b0d-4cfd-8843-d8da629f679a,DECLINED,Transaction ID is not unique!
54fa2261-77ed-453c-a97b-ea2dec7e7b8a,DECLINED,Can't withdraw (208.4) more or less than the set limits!
db019a9f-25a9-47b8-816b-395462c84a45,APPROVED,OK
16ea2171-bac2-49ac-b2f9-24af31a12218,DECLINED,This account has not done initial money deposit in order to withdraw!
61f259d8-1572-4827-a42a-b960545c5ccd,DECLINED,This account has not done initial money deposit in order to withdraw!
1af54d15-b92f-421e-b149-977bb160268a,APPROVED,OK
47dff4a7-12ce-4ee1-a164-479451a26d2b,DECLINED,Only allowed DC but used is CC!
e8dea79d-f390-441e-80d3-1d033bb3029b,APPROVED,OK
31347383-4a7d-4c99-8a69-df4906870de8,DECLINED,This account has not done initial money deposit in order to withdraw!
c4202cc4-823c-418e-bde5-0fd51b5a7da0,DECLINED,Can't deposit (56.11) more or less than the set limits!
95f138e3-dfcf-49b5-903d-b50a0cc8e304,DECLINED,No user for this transaction found!
ee93a85a-3b85-4554-8413-ef8d01097409,DECLINED,This account has not done initial money deposit in order to withdraw!
2ec225c0-da31-4202-9575-48393eeda6d4,DECLINED,Only allowed DC but used is CC!
84a8d1b8-a4a2-4411-b727-0d8379e18144,DECLINED,This account has not done initial money deposit in order to withdraw!
e5f42516-21a2-4a61-9eee-14733976833c,DECLINED,The user country and account number country is not matching!
15e9f322-e444-4e8f-b118-74a918e9d2c4,DECLINED,Transaction ID is not unique!
7aae7707-755d-4731-99b8-c3e8265857ac,DECLINED,This account has not done initial money deposit in order to withdraw!
04191afa-87d0-457b-8282-70f2a88a9eb1,DECLINED,This account has not done initial money deposit in order to withdraw!
1122ec39-ea7b-4206-8661-c97b8bb882a3,DECLINED,Can't deposit (90.2) more or less than the set limits!
44aee355-7786-4833-9477-ca882d156284,APPROVED,OK
159d22a8-7547-4785-a64a-f8e5529a7487,APPROVED,OK
44aee355-7786-4833-9477-ca882d156284,DECLINED,Transaction ID is not unique!
